id,name,image,discount_percentage
1,Otcom,http://dummyimage.com/138x100.png/dddddd/000000,38.43
2,Stim,http://dummyimage.com/243x100.png/cc0000/ffffff,0.56
3,Treeflex,http://dummyimage.com/138x100.png/ff4444/ffffff,18.75
4,Transcof,http://dummyimage.com/123x100.png/5fa2dd/ffffff,22.25
5,Holdlamis,http://dummyimage.com/243x100.png/dddddd/000000,21.74
6,Stronghold,http://dummyimage.com/133x100.png/cc0000/ffffff,37.09
7,Hatity,http://dummyimage.com/239x100.png/5fa2dd/ffffff,26.59
8,Greenlam,http://dummyimage.com/203x100.png/5fa2dd/ffffff,6.81
9,Zontrax,http://dummyimage.com/167x100.png/cc0000/ffffff,29.03
10,Viva,http://dummyimage.com/179x100.png/cc0000/ffffff,38.66
11,Keylex,http://dummyimage.com/141x100.png/cc0000/ffffff,25.53
12,Home Ing,http://dummyimage.com/108x100.png/cc0000/ffffff,9.53
13,Voyatouch,http://dummyimage.com/110x100.png/cc0000/ffffff,38.56
14,Veribet,http://dummyimage.com/147x100.png/5fa2dd/ffffff,3.3
15,Treeflex,http://dummyimage.com/102x100.png/5fa2dd/ffffff,18.78
16,Tampflex,http://dummyimage.com/247x100.png/cc0000/ffffff,24.87
17,Fintone,http://dummyimage.com/143x100.png/5fa2dd/ffffff,5.36
18,Y-Solowarm,http://dummyimage.com/158x100.png/cc0000/ffffff,19.54
19,Treeflex,http://dummyimage.com/119x100.png/5fa2dd/ffffff,14.15
20,Namfix,http://dummyimage.com/216x100.png/ff4444/ffffff,7.7
21,Toughjoyfax,http://dummyimage.com/192x100.png/cc0000/ffffff,20.01
22,Voltsillam,http://dummyimage.com/229x100.png/ff4444/ffffff,31.15
23,Opela,http://dummyimage.com/234x100.png/ff4444/ffffff,26.19
24,Fixflex,http://dummyimage.com/156x100.png/cc0000/ffffff,10.15
25,Ronstring,http://dummyimage.com/194x100.png/dddddd/000000,36.32
26,Vagram,http://dummyimage.com/150x100.png/ff4444/ffffff,36.39
27,Fintone,http://dummyimage.com/228x100.png/5fa2dd/ffffff,35.78
28,Konklux,http://dummyimage.com/169x100.png/cc0000/ffffff,27.92
29,Sub-Ex,http://dummyimage.com/205x100.png/5fa2dd/ffffff,5.07
30,Voltsillam,http://dummyimage.com/231x100.png/ff4444/ffffff,11.27
31,Alpha,http://dummyimage.com/208x100.png/5fa2dd/ffffff,24.4
32,Lotstring,http://dummyimage.com/185x100.png/ff4444/ffffff,21.41
33,Keylex,http://dummyimage.com/121x100.png/5fa2dd/ffffff,24.36
34,Zaam-Dox,http://dummyimage.com/159x100.png/ff4444/ffffff,16.31
35,Matsoft,http://dummyimage.com/157x100.png/dddddd/000000,35.25
36,Bamity,http://dummyimage.com/249x100.png/dddddd/000000,22.3
37,Keylex,http://dummyimage.com/221x100.png/5fa2dd/ffffff,37.94
38,Subin,http://dummyimage.com/115x100.png/ff4444/ffffff,36.2
39,Zathin,http://dummyimage.com/142x100.png/5fa2dd/ffffff,24.93
40,Wrapsafe,http://dummyimage.com/139x100.png/ff4444/ffffff,14.14
41,Zamit,http://dummyimage.com/197x100.png/ff4444/ffffff,23.96
42,Voltsillam,http://dummyimage.com/129x100.png/5fa2dd/ffffff,21.7
43,Sonsing,http://dummyimage.com/139x100.png/ff4444/ffffff,20.18
44,Wrapsafe,http://dummyimage.com/142x100.png/cc0000/ffffff,14.43
45,Tresom,http://dummyimage.com/186x100.png/5fa2dd/ffffff,25.11
46,Trippledex,http://dummyimage.com/153x100.png/ff4444/ffffff,25.7
47,Holdlamis,http://dummyimage.com/200x100.png/ff4444/ffffff,34.51
48,Temp,http://dummyimage.com/105x100.png/5fa2dd/ffffff,26.86
49,Home Ing,http://dummyimage.com/153x100.png/5fa2dd/ffffff,27.14
50,Zoolab,http://dummyimage.com/226x100.png/cc0000/ffffff,15.06
51,Greenlam,http://dummyimage.com/108x100.png/5fa2dd/ffffff,17.09
52,Cookley,http://dummyimage.com/104x100.png/dddddd/000000,37.44
